signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-486DD21D3708BDC9	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl	28	sha256:a36d249d5b73d76ed185a9b060404977eb23472ce8b7ad482270d6d58230a515	"{""content_hash"": ""9ef154f3329d5af020513c3463b4224da23135e50360502a228736724d15d281"", ""corpus_version"": ""v0.2-working"", ""gaia_built_at"": ""2026-06-01T19:31:00+00:00"", ""gaia_record_key"": ""oecd-ai-policy-observatory::OECD.AI Policy Observatory"", ""gaia_zenodo_doi"":"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-486E709E012992B7	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/boost/atlas-boost-120/manuscript-routing.json	112	sha256:ed38b86bdbc380420e4052dae582fa9f3f9b50d1218c688e49154e13cfb4bc9a	"safe_insertion_shape: ""one sentence naming the Dutch government algorithm register as a public-summary source and explicitly distinguishing it from verifier-only evidence records"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-487B211B3BA6143F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	125	sha256:5b4f33cb3da31604f9d1caeb8c92bfe3ca4c0e77cb9e460daf125b18ef39a5c5	ACC-CA-034,P0,CA-AI-REG,Government of Canada AI Register,Canada,active_register,2526-CRA-ARC-007,ITAS AI Architectural Assistant Proof of Concept,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b#row=2526-CRA-ARC-007,200,official Cana	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4882FA56737AC51C	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	court AI	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-044/finnish-named-institution-upgrade-board.tsv	5	sha256:bfda5c5717e6dbd819704ac6286ff8d8e112277e71ab87db40efb830cbd23157	FNIUB-044-004 LIMEN-008-PROC-FIN-YLE-20260302 Korkein oikeus / Supreme Court AI-governance speech route results/boost/limen-boost-044/finnish-official-justice-corpus-saturation-audit.tsv:FOJCSA-044-003 2026-06-08T00:41:37Z governance_context_only Official judi	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48ADC58D0EE5D231	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_HARDENING_SUMMARY.csv	13	sha256:1298233e3b74c95f6556c1fce4c3ff84836ba0723148c75ef6371b87e10b2458	"DZ,Algeria,P1,Africa expansion B,1.1,18,dz-source-hardening,0,10,1,2,3,4,10,17,0,I03 1/L->0/L; I06 1/L->2/M; I09 2/M->1/M,""I01: No official AI law, AI Act implementation measure, or equivalent AI governance statute found in checked offici; I03: No public offic"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48CAAA8C76D23FF8	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-cross-20260605T193210Z/claim-support-curated.json	318	sha256:083b6b6042707e02f6e21eefe59bac07da52d6337fe73ef7d5805379adedf948	"text: ""The Tyche Thesis Atlas is a versioned, source-linked research corpus for studying how AI governance duties, technical standards, public-sector registers, regulatory sandboxes, and implementation signals can be explored as candidate mappings into verif"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48D0D4413DF80200	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/config/hermes-v02-expansion-seeds.json.bak-seedtune-20260604T044720Z	575	sha256:831746f718ecc87075769baea8a30d307d535eb91d2787bb1ec34e4f9f489ddb	"why: ""Find Arabic-language regulatory sandbox material, especially Gulf smart-government and fintech comparators."""	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48EA3F7E6664909F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	59	sha256:a00731abeef58fd44396a6015bc873a2e9a78e089f970d59d4b7f8b4448bc1af	CZ,Czechia,I05,Czech Data Portal search: algoritmus,Digital and Information Agency,https://data.gov.cz/datové-sady?dotaz=algoritmus,2026-05-31,official open-data portal search,negative/limited algorithm-register evidence,M,Search returned two unrelated dataset	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-48F2B8E0089AB92B	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/pallas-gaia-bridge/paper-claim-signals.md	24	sha256:4d87001891d8a041986b9d68dbccd01ac7e56ae50a2ed798faf40dd8781ca7cf	| PG-048 | MentorIA Compras.gov.br procurement-planning chatbot | BR — Brazil | infrastructure | C fragmented governance route | HIGH_IMPACT_VERTICAL; PUBLIC_REGISTER_WEAK; AUDIT_PROVENANCE_WEAK; EU_AI_ACT_ROUTE_REVIEW; TRANSLATION_REVIEW; GAIA_HUMAN_REVIEW_BO	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-490D7FEBC263182A	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv	342	sha256:c6ec296295a3103eb87853884c705737585e8ec1cce1e41c28484e66d1d7a399	US,United States,I08,Driving Efficient Acquisition of Artificial Intelligence in Government (M-25-22),Office of Management and Budget,https://www.whitehouse.gov/wp-content/uploads/2025/02/M-25-22-Driving-Efficient-Acquisition-of-Artificial-Intelligence-in-Gove	needs direct source, source-pack resolution, or translation-aware review before example promotion
