signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-FA956471C1DFAA87	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T204009Z/tables/registry-gap-map-v0.2.csv	10	sha256:870a03b57a08b81695096c8b68db36f2428c2ffe7c8f9aeb7cb7a0c031c2e08b	GM-REC-NL-ALG-REC-93184465,NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/931	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA970FF35E216E40	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	synthetic identity	/srv/tyche/projects/limen-ai-edge-case-atlas/results/crosswalks/legal-frontier-priority-board-v0.1.tsv	8	sha256:e82cfefe816461a694476d58af2c20d6d29956e1fd1f152f2e130a78672719c0	7 deepfake_or_synthetic_identity Deepfake or synthetic identity High document_grade_legal_authority_needed 3 2 1 eu_ai_act+oecd direct_legal_anchor_but_case_applicability_unresolved Lawyer/source-authority review authoritative police/court/platform source, ele	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FA9901F158FEFDD5	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv	208	sha256:65cb0c14b9bacaff49846436e702314ce8aa96fcc36e6e987dd10d6ceb9b60a7	SS,South Sudan,I05,National Communication Authority home,National Communication Authority,https://www.nca.gov.ss/,2026-05-31,official_communications_regulator,algorithm_register_negative_check,M,NCA site has licensing and regulatory functions but no public reg	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FABEE86CFDA9A9AB	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/tables/registry-gap-map-v0.2.csv	9	sha256:032d3c31f172c7f0a18a03e9f12faffff65e0730dcce2372cab32f66d055c0e6	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FAC31C0F2C383F2E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_WEAK_SOURCE_WARNINGS.md	171	sha256:86fb3ef95f5b3ac87ed1b49aa1ea1d68e6673cc94141ea98897f72e4470f55c8	Overall weak-source note: Cyprus has solid adjacent digital-state infrastructure, but current public evidence does not yet expose a dedicated AI governance evidence layer comparable to algorithm registers, AI Act sandbox portals, or AI lifecycle assurance regi	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FAC5C4C4195C3B34	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-overview-bridge/gaia-pallas-world-synthesis.json	1405	sha256:9ced0200df2e1bc48d329fc1bdd4feef71ab80352402dc18ecb3e5ed2d62e36c	"pallas_summary: ""First-pass public evidence shows Albania has meaningful digital-government, standards, eID/trust-service, cybersecurity, procurement, and open-data infrastructure. AI-specific governance evidence is still emerging: the Digital Agenda 2022-20"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FADC548A6EF399D1	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl	198	sha256:ac077ac5a4183d7392121907778913c3c7f978ca26d25c34596f981f014967fd	"{""content_hash"": ""35488ce2fd0956bf4a80d9ceb08f245b4bc80efcf9811e948108ed7e30418f52"", ""corpus_version"": ""v0.2-working"", ""gaia_built_at"": ""2026-06-02T05:19:34+00:00"", ""gaia_record_key"": ""oecd-ai-policy-observatory::OECD.AI Policy Observatory"", ""gaia_zenodo_doi"":"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FAFD14E73DEBCAE1	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_2_COUNTRY_SCORE_DELTA.csv	46	sha256:89cf20e89f5ddad523ba53aee24f2dd9439a03b0382badff0c2b67239f6c4a06	"CG,I05,0,L,0,L,""No public official algorithm register or automated-decision transparency register identified on government, presidency, ARPCE, or ARMP sources."",true,cg-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FAFE73E1AC9AD23E	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	75	sha256:2567344106143b52089e41d56552b8d094e519c031fea3c1b15d8053b83aea76	"IE,Ireland,I05,""gov.ie search for """"algorithm register"""""",Government of Ireland,https://www.gov.ie/en/search/?q=algorithm%20register,2026-05-31,official portal search,negative evidence,M,""Official gov.ie search returned 0 results for 'algorithm register' at ch"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB0016413FDB4AD9	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/stratified-record-review-frame-20260608.csv	31	sha256:5dd150d442f34261a05fc25ce355b49d79e543138a8f7bea2a2eb6416d3ca398	SRF-20260608-030,ALL-CA-AI-REG-0114,CA-AI-REG,Government of Canada AI Register,active_register,Canada,2526-NSERC-CRSNG-001,Wordly,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,federal public administration,production	needs direct source, source-pack resolution, or translation-aware review before example promotion
